Invoice Id,Invoice Date,Invoice Due Date,Product Id,Product Description,Scraped Price,Invoice Unit Price,Reduction, Calculated
INV7500762,18/06/2019,19/09/2019,PRD62642316,Bud Light Platinum Beer,,,5%,1%
INV1441144,18/02/2019,25/10/2019,PRD95710098,Busch Non Alcoholic Beer,,,10%,8%
INV1314311,29/08/2019,23/09/2019,PRD78513176,Shock Top Belgian White Wheat Beer,,,8%,6%
INV7028756,14/10/2019,23/01/2020,PRD94345074,Tecate Light Mexican Beer,,,3%,2%
INV5624544,22/06/2019,03/09/2019,PRD36766519,Blue Moon Belgian White Wheat Beer,,,1%,10%
INV9032902,01/12/2019,10/08/2019,PRD87677080,Goya Jamaican Style Ginger Beer,,,4%,3%
INV7610918,07/11/2019,07/10/2019,PRD67340189,Corona Premier Mexican Lager Light Beer,,,4%,3%
INV1693355,18/08/2019,26/06/2019,PRD68566273,Bud Light Beer,,,2%,9%
INV1217046,05/08/2019,18/09/2019,PRD41111480,Budweiser Beer,,,1%,2%
INV9916100,29/01/2019,09/02/2020,PRD70348230,Modelo Especial Mexican Lager Beer,,,3%,8%
INV7132676,08/10/2019,02/06/2019,PRD15760732,Elysian Contact Haze Hazy IPA Craft Beer,,,10%,1%
INV7721798,25/02/2019,29/06/2019,PRD5263962,Corona Extra Mexican Lager Beer,,,6%,9%
INV4028514,12/12/2019,16/02/2020,PRD53320759,Budweiser Beer,,,4%,2%
INV9796808,29/01/2020,14/07/2019,PRD87031374,Budweiser Beer,,,3%,2%
INV2068979,22/05/2019,08/02/2020,PRD71363821,Bud Light Lime,,,5%,2%
INV1593963,09/08/2019,30/07/2019,PRD27805700,Budweiser Beer,,,7%,7%
INV6189839,20/03/2020,18/11/2019,PRD32117473,Bud Light Lime Beer,,,2%,8%
INV3612459,08/11/2019,15/09/2019,PRD88966776,Miller Lite Lager Beer,,,2%,3%
INV8352948,28/07/2019,08/09/2019,PRD33046190,Coors Light Beer,,,5%,9%
INV7490003,13/04/2019,16/06/2020,PRD75947201,Shock Top Belgian White Wheat Beer,,,2%,6%
INV7179727,26/02/2020,17/11/2019,PRD96999063,Bud Light Orange Beer,,,9%,8%
INV4202354,08/01/2019,05/05/2020,PRD92112085,Blue Moon Mango Wheat Beer,,,2%,2%
INV4337163,06/10/2019,23/07/2019,PRD43563662,Great Value Ginger Ale,,,3%,4%
INV5872803,11/07/2019,29/02/2020,PRD75571400,White Claw Variety Pack,,,6%,2%
INV1973365,24/03/2020,16/10/2019,PRD98761998,Stewart's Fountain Classics Real Sugar Root Beer,,,7%,6%
INV7966778,24/07/2019,11/11/2019,PRD64298796,Pabst Blue Ribbon Beer,,,5%,5%
INV7547004,26/02/2020,26/03/2020,PRD52641644,TRULY Hard Seltzer Berry Variety,,,3%,6%
INV9397095,15/02/2020,23/05/2020,PRD17144751,Michelob ULTRA Infusions Lime & Prickly Pear Cactus Light Beer,,,5%,9%
INV3299654,01/02/2019,08/10/2019,PRD9701554,Busch Beer,,,5%,4%
INV3187340,22/11/2019,22/04/2020,PRD77840682,Blue Moon Light Sky Wheat Beer,,,5%,2%
INV3191182,01/05/2019,29/04/2019,PRD54503812,Corona Extra Coronita Mexican Lager Beer,,,5%,1%
INV2477672,26/11/2019,28/04/2019,PRD93792262,Corona Premier Mexican Lager Light Beer,,,6%,3%
INV5632595,02/01/2020,23/05/2019,PRD72214902,Twisted Tea Original Hard Iced,,,2%,6%
INV9211248,21/01/2020,23/05/2019,PRD32962071,Coors Banquet Lager Beer,,,5%,2%
INV3285850,21/03/2020,20/09/2019,PRD75723430,Modelo Especial Mexican Lager Beer,,,2%,4%
INV3429132,26/10/2019,15/06/2020,PRD91738204,Cerveza Dos Equis Ambar Lager Mexican Beer,,,1%,10%
INV7739665,26/03/2019,02/03/2020,PRD82336127,Modelo Especial Mexican Lager Beer,,,7%,5%
INV2219190,31/08/2019,27/04/2020,PRD98184695,Redd's Hard Apple Ale Beer,,,2%,9%
INV7468521,14/09/2019,21/10/2019,PRD62857969,Bud Light Beer,,,1%,8%
INV4003540,13/07/2019,05/08/2019,PRD33691450,Samuel Adams Boston Lager Beer,,,7%,8%
INV8761446,17/09/2019,11/07/2019,PRD75733862,Miller Lite Lager Beer,,,2%,5%
INV1760187,13/03/2019,05/05/2019,PRD76041677,Coors Light Beer,,,7%,2%
INV3374996,10/04/2019,13/10/2019,PRD28486768,Corona Light Mexican Lager Beer,,,9%,1%
INV2473305,19/10/2019,27/05/2019,PRD55461314,Kona Brewing Co. Island Hopper Beer Variety Pack,,,1%,1%
INV7779206,10/01/2020,01/08/2019,PRD9192947,Modelo Especial Modelito Mexican Lager Beer,,,1%,9%
INV4411871,06/06/2019,14/05/2019,PRD19738076,Coors Banquet Lager Beer,,,10%,10%
INV5607993,12/07/2019,04/06/2019,PRD66805918,Miller Genuine Draft Beer,,,1%,3%
INV9606999,23/05/2019,21/09/2019,PRD59724104,Coors Light Beer,,,7%,5%
INV1647601,12/10/2019,08/04/2019,PRD86396514,Corona Familiar Mexican Lager Beer,,,4%,3%
INV4177151,25/07/2019,15/12/2019,PRD73699268,Stella Artois Lager,,,7%,4%
INV5261741,26/09/2019,03/07/2019,PRD80714141,Dos Equis Ambar Lager Beer,,,3%,5%
INV7499861,03/05/2019,10/08/2019,PRD68084630,Tecate Mexican Beer,,,1%,4%
INV4394404,27/02/2019,06/10/2019,PRD11332073,Stone Beer Variety Pack,,,6%,1%
INV2879568,21/11/2019,19/07/2019,PRD47332471,Saint Archer Gold Light Lager Beer,,,1%,4%
INV1491753,12/03/2019,17/09/2019,PRD40979785,Pabst Blue Ribbon Beer,,,3%,2%
INV4182035,20/10/2019,12/06/2020,PRD80562410,Elysian Space Dust IPA Craft Beer,,,4%,1%
INV8344521,12/08/2019,15/03/2020,PRD75733201,Bud Light Chelada The Original Made with Clamato Beer,,,3%,1%
INV3558588,31/01/2020,15/11/2019,PRD18011775,Steel Reserve High Gravity Lager Beer,,,10%,5%
INV3151517,03/03/2019,15/08/2019,PRD7975852,Lagunitas Little Sumpin Beer,,,6%,2%
INV9629952,27/01/2020,03/03/2020,PRD44867837,Pacifico Clara Mexican Lager Beer,,,3%,1%
INV4259689,04/01/2020,24/09/2019,PRD85733841,Pacifico Clara Mexican Lager Beer,,,7%,7%
INV2736124,28/11/2019,13/06/2020,PRD3757143,Kona Brewing Co. Big Wave Golden Ale Beer,,,1%,3%
INV9421288,25/05/2019,21/07/2019,PRD53919277,Bundaberg Brewed Drinks Bundaberg  Ginger Beer,,,3%,8%
INV5248401,11/04/2019,07/02/2020,PRD11054330,Bud Light Beer,,,4%,4%
INV2565634,07/02/2019,11/03/2020,PRD53148482,Budweiser Beer,,,1%,5%
INV3409717,23/04/2019,16/02/2020,PRD15923951,Sol Cerveza Mexican Beer,,,7%,8%
INV1186916,07/02/2020,29/08/2019,PRD58776572,Foster's Premium Ale Beer,,,10%,8%
INV7006187,12/02/2020,03/06/2020,PRD90719803,Beers of Mexico Variety Pack,,,4%,8%
INV8571361,03/09/2019,05/03/2020,PRD25830530,Heineken Lager,,,10%,4%
INV6144701,22/10/2019,18/05/2020,PRD4457788,Bud Light Beer,,,10%,5%
INV1284121,17/04/2019,16/05/2020,PRD44333194,Sol Chelada Beer,,,1%,2%
INV7186805,17/08/2019,20/05/2019,PRD35996567,Corona Familiar Mexican Lager Beer,,,4%,10%
INV3364317,09/10/2019,20/02/2020,PRD9867347,Budweiser Nitro Reserve Gold Lager Beer,,,4%,6%
INV7100886,04/03/2019,23/03/2020,PRD87806664,Bud Light Beer,,,9%,1%
INV3415440,24/01/2020,12/09/2019,PRD64435390,Redd's Wicked Apple Ale Beer,,,7%,3%
INV5208552,11/09/2019,07/07/2019,PRD27272085,Coors Banquet Lager Beer,,,3%,5%
INV9499382,01/01/2020,28/01/2020,PRD98500566,Miller Lite Lager Beer,,,7%,4%
INV6310310,15/02/2020,29/05/2019,PRD95416591,Redd's Wicked Black Cherry Ale Beer,,,8%,10%
INV2265925,04/12/2019,08/08/2019,PRD64382563,Cervezas Clasicas Variety Pack Mexican Lager Beer,,,1%,5%
INV1264387,27/03/2020,08/08/2019,PRD72864813,Modelo Chelada Especial Mexican Import Flavored Beer,,,4%,6%
INV6046849,25/06/2019,03/11/2019,PRD77207416,Twang Beer Salt Lime 1.4oz Bottle,1.98,,5%,1%
INV1679887,28/06/2019,08/02/2020,PRD20466607,Athletic Brewing Company - Craft Non-Alcoholic Beer - Upside Dawn Craft Golden Ale,,,1%,8%
INV9638731,23/09/2019,24/12/2019,PRD71825593,Red Stripe Beer,,,10%,6%
INV4400739,05/02/2020,16/01/2020,PRD33624426,Heineken Lager,,,10%,8%
INV2154712,21/10/2019,22/04/2019,PRD47375272,Budweiser Beer,,,9%,4%
INV7995150,04/02/2020,10/05/2019,PRD11717159,TRULY Hard Seltzer Tropical Variety,,,1%,3%
INV2462896,10/10/2019,07/05/2020,PRD37116534,Founders All Day IPA Session Ale,,,3%,10%
INV7047563,24/04/2019,27/06/2019,PRD88215654,Athletic Brewing Company - Craft Non-Alcoholic Beer - Run Wild Session IPA,,,7%,1%
INV5819089,05/03/2020,17/07/2019,PRD60007196,Coors Light Beer,,,10%,6%
INV5930534,23/02/2020,17/05/2020,PRD11929225,Corona Familiar Mexican Lager Beer,,,2%,8%
INV1274107,04/02/2020,20/02/2020,PRD87812915,Modelo Especial Mexican Lager Beer,,,7%,2%
INV3002026,13/05/2019,18/10/2019,PRD13433923,Athletic Brewing Company - Craft Non-Alcoholic Beer - Run Wild IPA and Upside Dawn Golden Ale Mixed Case,,,5%,4%
INV6016688,15/02/2020,13/11/2019,PRD94685931,Budweiser Beer,,,4%,1%
INV8344725,28/08/2019,13/02/2020,PRD57365635,Modelo Especial Mexican Lager Beer,,,4%,4%
INV8870370,30/03/2019,21/04/2019,PRD20704496,Old Milwaukee Non-Alcoholic Beer,,,10%,7%
INV5365729,02/07/2019,30/03/2020,PRD83869838,Vizzy Gluten Free Hard Seltzer Variety Pack,,,6%,2%
INV6581708,28/01/2020,19/06/2020,PRD42707645,Michelob ULTRA Light Beer,,,1%,5%
INV7802630,28/08/2019,26/01/2020,PRD60146054,White Claw Black Cherry 6-pk 12oz. Can,,,2%,8%
INV4096226,19/08/2019,16/06/2019,PRD74278609,Bud Light Beer,,,2%,4%
INV1561671,05/02/2020,10/06/2020,PRD17314055,Natural Light Beer,,,10%,3%
INV7294580,26/05/2019,15/09/2019,PRD26168458,Golden Road Brewing Wolf Pup Session IPA Craft Beer,,,8%,1%
INV5131712,15/06/2019,26/04/2019,PRD8439173,Heineken Lager Beer,,,8%,8%
INV1031543,15/01/2019,19/02/2020,PRD2165763,Modelo Chelada Limon y Sal Mexican Import Flavored Beer,,,6%,5%
INV2977247,29/03/2019,01/06/2019,PRD66653625,Kona Brewing Co. Longboard Island Lager Beer,,,6%,9%
INV9662538,09/12/2019,12/07/2019,PRD77172080,Shiner Bock,,,10%,10%
INV5964241,05/06/2019,27/12/2019,PRD85820856,Pabst Blue Ribbon Extra Beer 12 Pack,,,1%,6%
INV7615792,04/02/2019,16/05/2019,PRD16119636,Guinness Draught Stout,,,1%,1%
INV8180289,29/09/2019,02/11/2019,PRD70983357,Coors Light Beer,,,7%,2%
INV8269841,19/07/2019,15/10/2019,PRD93520982,Corona Extra Mexican Lager Beer,,,7%,10%
INV4912959,05/01/2020,05/03/2020,PRD18482199,Saint Archer IPA Beer,,,2%,5%
INV2162803,21/11/2019,31/05/2019,PRD96405616,Heineken 0.0 Alcohol Free,,,8%,9%
INV3640965,23/10/2019,22/04/2020,PRD5916552,Sierra Nevada Pale Ale,,,9%,9%
INV6023641,28/11/2019,13/03/2020,PRD89089218,Natural Light Beer,,,6%,7%
INV8524925,23/07/2019,04/11/2019,PRD51622244,Beck's German Beer,,,3%,2%
INV4737090,09/09/2019,25/01/2020,PRD51559566,Molson Canadian Lager Beer,,,6%,4%
INV1603468,03/03/2020,29/03/2020,PRD87181554,Genesee Beer,,,4%,5%
INV3875004,06/04/2019,02/06/2020,PRD1708954,Miller Lite Lager Beer,,,6%,8%
INV9228974,12/02/2019,06/04/2019,PRD7515984,Michelob Golden Light Draft Beer,,,6%,5%
INV7802786,01/12/2019,20/05/2019,PRD26443989,Sierra Nevada Hazy Little Thing IPA 6-12 fl. oz. Cans,,,7%,1%
INV1687539,05/10/2019,26/05/2020,PRD92776268,Sapporo Premium Beer,,,4%,9%
INV5058311,18/12/2019,28/12/2019,PRD17789599,White Claw Raspberry 6-pk 12oz. Can,,,5%,10%
INV4497960,20/04/2019,16/06/2019,PRD68378966,Lagunitas IPA,,,6%,9%
INV7675393,19/11/2019,23/08/2019,PRD3645783,Miller Genuine Draft Beer,,,9%,8%
INV7221963,01/02/2019,27/05/2020,PRD79729817,Lagunitas IPA,,,7%,3%
INV4264239,08/11/2019,17/05/2020,PRD74395836,Heineken Lager,,,8%,3%
INV7096890,15/03/2019,08/10/2019,PRD68486583,O'Doul's Premium Golden Non-Alcoholic Brew,,,1%,5%
INV5279648,06/02/2020,28/08/2019,PRD8378238,Athletic Brewing Company - Craft Non-Alcoholic Beer - Upside Dawn Craft Golden Ale,,,1%,10%
INV2353946,26/01/2019,18/03/2020,PRD98435333,Guinness Draught Stout,,,1%,3%
INV5368388,12/05/2019,10/07/2019,PRD74840609,Budweiser Chelada Beer,,,9%,6%
INV1250910,13/02/2019,26/06/2019,PRD18527638,"Kutztown ""Nix Besser"" White Birch Beer",,,7%,2%
INV6427848,05/11/2019,10/11/2019,PRD10538419,Dos Equis Lager Especial,,,10%,2%
INV3859422,12/03/2019,06/11/2019,PRD87285767,Smirnoff Ice Variety Fun Pack,,,4%,8%
INV7659845,13/09/2019,05/06/2019,PRD90333730,Great Value Root Beer,,,9%,6%
INV8252794,01/12/2019,18/12/2019,PRD35464773,21st Amendment Hell or High Watermelon Wheat Beer,,,6%,1%
INV4307797,08/04/2019,25/06/2020,PRD92800009,New Belgium Voodoo Ranger Imperial IPA 6PK 12oz Bottles,,,5%,5%
INV4105663,12/09/2019,23/10/2019,PRD66791071,Mug Caffeine-Free Root Beer,,,2%,8%
INV5646638,20/12/2019,10/11/2019,PRD80834715,Schweppes 1783 Tahitian Lime Ginger Beer,,,6%,2%
INV3138792,16/03/2019,19/06/2019,PRD11488834,Pennsylvania Dutch Birch Beer 12 oz. (24 Cans),42.99,,2%,8%
INV5371902,09/11/2019,22/05/2020,PRD13601451,"Kutztown ""Nix Besser"" Birch Beer",,,4%,10%
INV2629451,19/02/2020,09/01/2020,PRD85501664,Corona Extra Mexican Lager Beer,,,10%,9%
INV9110660,22/05/2019,22/01/2020,PRD10480561,Mickeys Fine Malt Liquor Ale Beer,,,3%,4%
INV1459414,18/03/2019,10/01/2020,PRD47003590,Rolling Rock Extra Pale Beer,,,9%,3%
INV1849971,28/12/2019,19/12/2019,PRD49364947,Heineken Lager,,,4%,2%
INV2895195,13/06/2019,19/07/2019,PRD73736684,Athletic Brewing Company - Craft Non-Alcoholic Beer - Run Wild Session IPA and Cerveza Atletica Light Copper Lager Mixed Case,,,5%,6%
INV5705747,28/03/2019,29/05/2019,PRD24197040,Firestone 805 Blond Ale,,,4%,7%
INV8679793,07/02/2019,03/04/2019,PRD71392695,Natural Ice Beer,,,6%,2%
INV6056495,14/06/2019,18/08/2019,PRD96556454,A&W Diet Root Beer,,,6%,7%
INV8696366,25/02/2019,04/10/2019,PRD26000277,Craft Beer Kit | Hefeweizen,44.99,,7%,2%
INV8461026,16/04/2019,03/06/2020,PRD59458671,Miller High Life American Lager Beer,,,8%,4%
INV6616389,18/01/2019,01/09/2019,PRD5022374,Bundaberg Ginger Beer,,,10%,4%
INV8664930,08/02/2020,29/06/2020,PRD6917684,Sierra Nevada Torpedo Extra IPA,,,5%,5%
INV9974648,05/03/2020,20/05/2019,PRD96341927,Heineken Lager,,,5%,8%
INV4555718,06/03/2020,24/11/2019,PRD3890201,Pennsylvania Dutch Diet Birch Beer 12 oz. (24 Cans),42.99,,2%,4%
INV8159952,29/01/2019,19/05/2019,PRD79326834,Sierra Nevada Pale Ale,,,3%,2%
INV2817297,02/01/2020,11/08/2019,PRD81822300,Kirin Ichiban Premium Beer,,,7%,5%
INV4573730,21/07/2019,30/04/2020,PRD53209397,Blue Moon Belgian White Wheat Beer,,,8%,4%
INV7974329,26/06/2019,16/08/2019,PRD87056795,Sierra Nevada Torpedo Extra IPA Beer 12-12 fl. oz. Cans,,,3%,9%
INV5086511,06/02/2020,05/09/2019,PRD82879577,Molson Canadian Lager Beer,,,8%,4%
INV2164519,24/06/2019,24/05/2020,PRD49491813,Sierra Nevada Pale Ale,,,9%,3%
INV2185698,12/11/2019,23/08/2019,PRD13380878,Athletic Brewing Company - Craft Non-Alcoholic Beer - Upside Dawn Golden Ale and Cerveza Atletica Light Copper Lager Mixed Case,,,4%,5%
INV6325934,12/02/2019,07/04/2020,PRD44832045,Athletic Brewing Company - Craft Non-Alcholic Beer - Cerveza Atletica Light Copper Lager,,,1%,4%
INV5929772,24/11/2019,18/09/2019,PRD24999414,Pennsylvania Dutch Diet Birch Beer 12 oz. (24 Cans),42.99,,5%,3%
INV5771751,03/01/2019,15/09/2019,PRD20882138,Point 5 Non Alcoholic Beer 12-Pack (12,,,6%,6%
INV6077008,08/06/2019,13/09/2019,PRD94313999,"HO SCALE Miniature ""If You Like Beer You'll Love Schlitz The Beer That Made Milwaukee Famous"" Vintage Billboard",15.31,,9%,2%
INV4877374,25/01/2020,21/07/2019,PRD73325847,Sierra Nevada Pale Ale,,,2%,2%
INV1839489,23/01/2019,11/04/2019,PRD33694403,Elysian Brewing Mix Pack,,,10%,1%
INV1711898,25/08/2019,13/05/2019,PRD6359605,Tecate Beer,,,3%,3%
INV9827154,14/01/2019,18/01/2020,PRD73529268,Heineken Light Lager,,,8%,10%
INV2387864,04/12/2019,13/08/2019,PRD54748856,Pabst Hard Coffee 4/11 C,,,2%,3%
INV2484528,18/02/2020,04/03/2020,PRD76695794,BPONG Official Beer Pong Kit World Series of Beer Pong (WSOBP) 2 Racks,,,7%,1%
INV9536911,04/06/2019,30/08/2019,PRD21830128,Mush-Mouth Oatmeal Stout,,,10%,4%
INV4759993,30/04/2019,05/08/2019,PRD15823349,O'Doul's Premium Golden Non-Alcoholic Brew,,,9%,3%
INV6224815,06/01/2019,04/06/2020,PRD32600366,Bravus Non-Alcoholic Beer - Amber Ale - 6-pack,22.99,,2%,8%
INV9078985,09/12/2019,22/03/2020,PRD98724481,ZYTHOS DOUBLE IPA ALE Extract Beer Brewing recipe Homebrew kit Malt hops & grain,45.24,,5%,3%
INV8799663,21/03/2019,12/12/2019,PRD42275774,Belvoir Fruit Fram Organic Ginger Beer Case of 4 X 250ml,29.49,,6%,8%
INV8604456,08/03/2019,17/07/2019,PRD1374548,New Belgium Voodoo Ranger IPA 6PK 12oz Bottles,,,9%,5%
INV9438000,22/09/2019,06/03/2020,PRD34059140,Twang Flavored Beer Salt,,,2%,3%
INV6518239,19/11/2019,20/07/2019,PRD89304806,Vintage 1990 Etched 16oz Pint Beer Soda Glass - 30th Birthday Aged to Perfection - 30 years old gifts,15.99,,2%,1%
INV3608247,17/08/2019,10/11/2019,PRD10353787,"Made in Mexico 4-Shrimp Cocktail Copa Coctelera Quadrado Square Schooner Beer Glasses Mexican Jarro de Vidrio Glass Copa De Cctel De Camarones 7""X4"" Chavela",44.91,,8%,1%
